username,text,timestamp,language_code,translated_text,keywords,sentence_sentiment,extracted_locations,mentioned_users,political_inclination
rigo_eddie,"Fuck me. You want to start picking your wars on order es you can win????? The US hasn't won a war since ww2, and it did that. Y being the only nation on the planet deranged enough to use nukes. You have many enemy. More than most. Watch your back. China is rubbing it's hands.",2025-03-01 21:45:47+00:00,en,"Fuck me. You want to start picking your wars on order es you can win????? The US hasn't won a war since ww2, and it did that. Y being the only nation on the planet deranged enough to use nukes. You have many enemy. More than most. Watch your back. China is rubbing it's hands.","[('war', np.float64(0.689208807456486)), ('us', np.float64(0.6220855955348283)), ('ww2', np.float64(0.3714844970553769))]",0.2375,"['China', 'US']",[],neutral
9NinetyOneNine,"This is the idealism I was talking about.

If the USSR collapsed before WW2, you would have had Russian whites back in power and allied with the nazis.

Whole of Europe would have been the third reich itself, and with the resources of Siberia, JUST IMAGINE.",2025-03-01 21:45:49+00:00,en,"This is the idealism I was talking about.

If the USSR collapsed before WW2, you would have had Russian whites back in power and allied with the nazis.

Whole of Europe would have been the third reich itself, and with the resources of Siberia, JUST IMAGINE.","[('europe', np.float64(0.8802726569953784)), ('ww2', np.float64(0.47446817527237484))]",0.05,"['USSR', 'Siberia', 'Europe']",[],neutral
charr68204,Winston Churchill wore his military clothes to the White House during WW2 . It is acceptable. But its ok with you for Elon to where a tee shirt and a baseball cap in the Oval Office! Hypocritical BS!,2025-03-01 21:45:52+00:00,en,Winston Churchill wore his military clothes to the White House during WW2 . It is acceptable. But its ok with you for Elon to where a tee shirt and a baseball cap in the Oval Office! Hypocritical BS!,"[('ww2', np.float64(1.0))]",0.22708333333333333,[],[],neutral
RealAdamWard,"If you think cancelling elections in the middle of a war is dictator-like, you're ill-informed at best.

Churchill did the same thing during WW2. It's pretty standard.",2025-03-01 21:45:57+00:00,en,"If you think cancelling elections in the middle of a war is dictator-like, you're ill-informed at best.

Churchill did the same thing during WW2. It's pretty standard.","[('war', np.float64(0.8802726569953784)), ('ww2', np.float64(0.47446817527237484))]",0.25,[],[],neutral
superphil123,"Britain did sell off lots of its overseas territory to the US in order to pay for military assistance from the US in WW2. We did'nt hand over Kent, Norfolk , Devon & Cornwall.",2025-03-01 21:45:57+00:00,en,"Britain did sell off lots of its overseas territory to the US in order to pay for military assistance from the US in WW2. We did'nt hand over Kent, Norfolk , Devon & Cornwall.","[('us', np.float64(0.9581999899131437)), ('ww2', np.float64(0.28609924734338477))]",-0.1,"['Britain', 'US', 'WW2']",[],neutral
TomBombadil8796,"Czechs know it. Munich 1938. The consequence of this ""agreement"" was WW2.",2025-03-01 21:46:03+00:00,en,"Czechs know it. Munich 1938. The consequence of this ""agreement"" was WW2.","[('ww2', np.float64(1.0))]",0.0,[],[],neutral
stoicrebel0,"The vast majority of boomers, both men and women, are the most indoctrinated generation of white people. They were raised during prime jewish control after WW2 and they grew up solely on propaganda with no other source of information. Don’t rely on them for anything.",2025-03-01 21:46:15+00:00,en,"The vast majority of boomers, both men and women, are the most indoctrinated generation of white people. They were raised during prime jewish control after WW2 and they grew up solely on propaganda with no other source of information. Don’t rely on them for anything.","[('ww2', np.float64(1.0))]",0.07708333333333334,[],[],neutral
KhaldMhmd75515,تم,2025-03-01 21:46:17+00:00,ar,It was completed,[],0.0,[],[],neutral
firehorsemia,We had a few stationed here during WW2,2025-03-01 21:46:18+00:00,en,We had a few stationed here during WW2,"[('ww2', np.float64(1.0))]",-0.2,[],[],neutral
mikelake449021,"Your right Europe doesn't need America, and we don't need Europe, you left out Navy carriers and subs, you left out tanks, weapons, artillery from WW2 being used by Europe, do some checking non stronger then USA",2025-03-01 21:46:19+00:00,en,"Your right Europe doesn't need America, and we don't need Europe, you left out Navy carriers and subs, you left out tanks, weapons, artillery from WW2 being used by Europe, do some checking non stronger then USA","[('europe', np.float64(0.9842403950860621)), ('ww2', np.float64(0.17683564312895875))]",0.09523809523809523,"['USA', 'America', 'Europe']",[],neutral
JM40772,We funded the USSR in WW2. They were our allies. Your grandfather fought on the same side as them.,2025-03-01 21:46:25+00:00,en,We funded the USSR in WW2. They were our allies. Your grandfather fought on the same side as them.,"[('ww2', np.float64(1.0))]",0.0,"['USSR', 'WW2']",[],neutral
kbratt1509,"And If you had not intervened in ww2 how do you think the world would look like now.
Maybe you feel like we should have handed you our coal reserves for your help? World order is about peace and not about USAs financial gain. Remember, we are simply temporary world custodians",2025-03-01 21:46:29+00:00,en,"And If you had not intervened in ww2 how do you think the world would look like now.
Maybe you feel like we should have handed you our coal reserves for your help? World order is about peace and not about USAs financial gain. Remember, we are simply temporary world custodians","[('ww2', np.float64(1.0))]",0.0,[],[],neutral
ipekboy,"tu gdzie mieszkam, bezpieczenstwo jest ciut tansze, bo biore prawo jazdy, jade kupic sobie bron i tyle. Wuja od mojej zony strony to ma 3 strzelby, 2 pistolety, Thompsona z ery WW2 i rifle",2025-03-01 21:46:34+00:00,pl,"Where I live, safety is a bit cheaper, because I take my driving license, I'm going to buy weapons and that's it.Uncle from my wife's side has 3 shotguns, 2 pistols, Thompson from the WW2 era and Rifle","[('ww2', np.float64(1.0))]",0.13636363636363635,[],[],neutral
3rdTimeCharming,"Yeah, the army can man a breakthrough armored division to fight the imagined WW2.5 in Europe or the actual decade long war to secure the southern border; pick one. And that’s separate from the need to gut Goldwater-Nichols to fund USN/AF so that Hawaii stays #50.",2025-03-01 21:46:34+00:00,en,"Yeah, the army can man a breakthrough armored division to fight the imagined WW2.5 in Europe or the actual decade long war to secure the southern border; pick one. And that’s separate from the need to gut Goldwater-Nichols to fund USN/AF so that Hawaii stays #50.","[('war', np.float64(0.6607432272745788)), ('europe', np.float64(0.6607432272745788)), ('ww2', np.float64(0.3561415101073569))]",0.08750000000000001,"['Hawaii', 'Europe']",[],neutral
HaraldA69,De har glemt at russere reddet oss fra nazister i ww2. Jeg besøker gravene til de falne ofte,2025-03-01 21:46:37+00:00,no,They forgot that Russians saved us from Nazis in WW2.I visit the tombs of the fallen often,"[('us', np.float64(0.8585668683928757)), ('ww2', np.float64(0.5127016018095227))]",0.0,[],[],neutral
Smartarse21,"We have lived in this world of, we can’t anger our European allies and have been taken advantage of greatly. 

Now we can’t be belligerent but it is about time they start to do things on their own, WW2 is almost 80 years ago, they have rebuilt…",2025-03-01 21:46:42+00:00,en,"We have lived in this world of, we can’t anger our European allies and have been taken advantage of greatly. 

Now we can’t be belligerent but it is about time they start to do things on their own, WW2 is almost 80 years ago, they have rebuilt…","[('ww2', np.float64(1.0))]",0.17500000000000002,['WW2'],[],neutral
DiegoPelig,Lol I don't think Mr Churchhill thought that  you must have forgotten ww2. They weren't calling Ukraine. You could say America saved Europe.,2025-03-01 21:47:05+00:00,en,Lol I don't think Mr Churchhill thought that  you must have forgotten ww2. They weren't calling Ukraine. You could say America saved Europe.,"[('europe', np.float64(0.8802726569953784)), ('ww2', np.float64(0.47446817527237484))]",0.8,"['America', 'Europe', 'Ukraine']",[],neutral
joe4deadcat,Russia fought against Germany in WW2 and allied with the USA,2025-03-01 21:47:17+00:00,en,Russia fought against Germany in WW2 and allied with the USA,"[('ww2', np.float64(1.0))]",0.0,"['Russia', 'USA', 'Germany', 'WW2']",[],neutral
g78057729,"You have some links inside the article for other similar hit piece approaches. 
To understand fully you might also need to study  the government of Romania during WW2 after Carol 2nd, the Antonescu  regime and the the dynamic(coop to conflict) with the fascist legionary movement.",2025-03-01 21:47:18+00:00,en,"You have some links inside the article for other similar hit piece approaches. 
To understand fully you might also need to study  the government of Romania during WW2 after Carol 2nd, the Antonescu  regime and the the dynamic(coop to conflict) with the fascist legionary movement.","[('ww2', np.float64(1.0))]",-0.041666666666666664,"['Romania', 'Antonescu']",[],neutral
kdsathome,That's an irrelevant point regardless of true or not. The US is already involved thats a fact. Not staying involved is likely leading to ww3. That is what happened in ww2 we stayed out of it for way too long.  Worried about ourselves instead of what's right. The. What happened,2025-03-01 21:47:19+00:00,en,That's an irrelevant point regardless of true or not. The US is already involved thats a fact. Not staying involved is likely leading to ww3. That is what happened in ww2 we stayed out of it for way too long.  Worried about ourselves instead of what's right. The. What happened,"[('ww3', np.float64(0.6514139902350211)), ('us', np.float64(0.6514139902350211)), ('ww2', np.float64(0.3889982347674289))]",0.017142857142857137,['US'],[],right-leaning
KeithCambs,"In my opinion the lack of suite question was dumb. There's a photo from WW2 of Churchill not wearing one when meeting leaders.

Incidentally, there's a body language opinion at",2025-03-01 21:47:23+00:00,en,"In my opinion the lack of suite question was dumb. There's a photo from WW2 of Churchill not wearing one when meeting leaders.

Incidentally, there's a body language opinion at","[('ww2', np.float64(1.0))]",-0.375,[],[],neutral
GregoriusLotor,"”My grandfather and the Greatest Generation didn’t fight in World War II to see our country side with murderous thugs like Putin.”

Obviously not a student of history. In WW2, the US and UK allied with the USSR under Joseph Stalin. Putin is an alter boy by comparison.",2025-03-01 21:47:26+00:00,en,"”My grandfather and the Greatest Generation didn’t fight in World War II to see our country side with murderous thugs like Putin.”

Obviously not a student of history. In WW2, the US and UK allied with the USSR under Joseph Stalin. Putin is an alter boy by comparison.","[('war', np.float64(0.689208807456486)), ('us', np.float64(0.6220855955348283)), ('ww2', np.float64(0.3714844970553769))]",0.5,"['UK', 'USSR', 'US', 'WW2']",[],neutral
